size: [644 4]
0.017453307 0.0453786 -0.106465176 0
-0.0034906615 0.06283191 -0.087266535 9900000
-0.017453307 0.07679455 -0.080285214 20000000
-0.02443463 0.0680679 -0.0680679 29900000
-0.031415954 0.054105252 -0.06981323 40000000
-0.02443463 0.034906615 -0.06283191 49900000
-0.015707977 0.013962646 -0.05061459 60000000
-0.027925292 0.0052359924 -0.029670622 69900000
-0.027925292 0.006981323 -0.006981323 80000000
-0.029670622 0.02443463 0.0052359924 89900000
-0.017453307 0.057595916 0.013962646 100000000
-0.0034906615 0.06981323 -0.0052359924 109900000
0.015707977 0.054105252 -0.036651947 120000000
0.036651947 0.0453786 -0.061086576 129900000
0.057595916 0.034906615 -0.066322565 140000000
0.08377588 0.033161283 -0.06283191 149900000
0.087266535 0.034906615 -0.057595916 160000000
0.09250253 0.04886926 -0.059341244 169900000
0.0907572 0.05061459 -0.07504922 180000000
0.07330389 0.033161283 -0.099483855 189900000
0.043633267 0.029670622 -0.108210504 200000000
0.031415954 0.04188794 -0.106465176 209900000
0.036651947 0.09599319 -0.1134465 220000000
0.038397275 0.17453307 -0.11868249 229900000
0.033161283 0.24260098 -0.09599319 240000000
0.019198637 0.24609163 -0.038397275 249900000
0.006981323 0.14660779 0.04886926 260000000
-0.019198637 0.013962646 0.1361358 269900000
-0.06283191 -0.08203054 0.16580643 280000000
-0.06283191 -0.12391848 0.1535891 289900000
-0.040142607 -0.10297451 0.10471985 300000000
0.043633267 -0.031415954 0.038397275 309900000
0.13439047 0.06283191 -0.0226893 320000000
0.20769437 0.12566382 -0.057595916 329900000
0.22340234 0.15009844 -0.059341244 340000000
0.19896771 0.11519183 -0.026179962 349900000
0.12740915 0.06283191 0.012217315 360000000
0.038397275 0.07330389 0.033161283 369900000
-0.02094397 0.1134465 0.031415954 380000000
-0.07504922 0.1535891 0.0226893 389900000
-0.09424786 0.20769437 0.0034906615 400000000
-0.07504922 0.24609163 0.0034906615 409900000
-0.038397275 0.26878095 0.019198637 420000000
0.0052359924 0.2670356 0.040142607 429900000
0.031415954 0.27401692 0.0680679 440000000
0.054105252 0.28099826 0.09250253 449900000
0.07504922 0.29670623 0.11693716 460000000
0.08377588 0.30368754 0.14835311 469900000
0.057595916 0.3071782 0.18325973 480000000
0.031415954 0.29845157 0.21293035 489900000
-0.012217315 0.2617996 0.23561965 500000000
-0.061086576 0.21816635 0.232129 509900000
-0.08901187 0.19024105 0.21816635 520000000
-0.09424786 0.17802374 0.17976907 529900000
-0.09250253 0.18325973 0.12566382 540000000
-0.08377588 0.18500505 0.0680679 549900000
-0.080285214 0.19024105 0.015707977 560000000
-0.080285214 0.19373171 -0.010471985 569900000
-0.0907572 0.21293035 -0.017453307 580000000
-0.12217315 0.21293035 -0.006981323 589900000
-0.14311711 0.17104241 0.010471985 600000000
-0.1361358 0.1361358 0.013962646 609900000
-0.10471985 0.10297451 -0.008726654 620000000
-0.06457724 0.09599319 -0.052359924 629900000
-0.026179962 0.087266535 -0.1134465 640000000
0.008726654 0.09599319 -0.16057043 649900000
0.026179962 0.11693716 -0.16929708 660000000
0.015707977 0.14486246 -0.13962646 669900000
-0.012217315 0.17453307 -0.09599319 680000000
-0.043633267 0.17976907 -0.055850584 689900000
-0.07504922 0.21293035 -0.031415954 700000000
-0.10471985 0.24085565 -0.013962646 709900000
-0.12915447 0.24260098 -0.0017453308 720000000
-0.1535891 0.2042037 -0.0017453308 729900000
-0.17627841 0.14835311 -0.0034906615 740000000
-0.17627841 0.12217315 0.0 749900000
-0.13962646 0.12740915 0.0017453308 760000000
-0.09250253 0.14660779 -0.013962646 769900000
-0.052359924 0.1361358 -0.040142607 780000000
-0.010471985 0.12566382 -0.07679455 789900000
0.031415954 0.10122918 -0.10297451 800000000
0.04712393 0.06457724 -0.1134465 809900000
0.015707977 0.02443463 -0.11519183 820000000
-0.036651947 -0.006981323 -0.106465176 829900000
-0.066322565 -0.026179962 -0.099483855 840000000
-0.07504922 -0.031415954 -0.09599319 849900000
-0.059341244 -0.038397275 -0.11868249 860000000
-0.040142607 -0.059341244 -0.14486246 869900000
0.0 -0.07155856 -0.17627841 880000000
0.038397275 -0.078539886 -0.1815144 889900000
0.07155856 -0.07679455 -0.18325973 900000000
0.09250253 -0.07679455 -0.16755176 909900000
0.087266535 -0.078539886 -0.12391848 918100000
0.04886926 -0.10122918 -0.043633267 929900000
-0.012217315 -0.15184377 0.02443463 940000000
-0.0907572 -0.21293035 0.07155856 949900000
-0.13264513 -0.2443463 0.087266535 960000000
-0.1308998 -0.25132763 0.04886926 969900000
-0.099483855 -0.24783696 -0.015707977 980000000
-0.033161283 -0.23038366 -0.087266535 989900000
0.019198637 -0.20769437 -0.1535891 1000000000
0.054105252 -0.21118502 -0.16580643 1009900000
0.07679455 -0.23038366 -0.14311711 1020000000
0.10471985 -0.28623423 -0.10122918 1029900000
0.1308998 -0.35604748 -0.0907572 1040000000
0.18325973 -0.41713405 -0.12217315 1049900000
0.2670356 -0.44331402 -0.18500505 1060000000
0.32812217 -0.4712393 -0.22340234 1069900000
0.33684883 -0.48694727 -0.20071304 1080000000
0.29845157 -0.5009099 -0.13788113 1089900000
0.17976907 -0.49567392 -0.038397275 1100000000
-0.0226893 -0.49043795 0.054105252 1109900000
-0.28797957 -0.44855002 0.14835311 1120000000
-0.5218539 -0.42935136 0.18849573 1129900000
-0.68416965 -0.42411536 0.09773852 1140000000
-0.6928963 -0.3735008 -0.11519183 1149900000
-0.4939286 -0.34732082 -0.36128345 1160000000
-0.20071304 -0.29845157 -0.5166179 1169900000
