size: [1339 4]
-0.059341244 0.006981323 -0.06981323 0
-0.031415954 -0.27576226 -0.10995584 9900000
-0.19373171 -0.39095408 -0.1361358 20000000
-0.4188794 -0.29845157 -0.16406108 29900000
-0.6248284 -0.07679455 -0.17627841 40000000
-0.7155856 0.09599319 -0.16406108 49900000
-0.6824243 0.0453786 -0.11519183 60000000
-0.54628855 -0.21293035 -0.033161283 69900000
-0.37699145 -0.49741927 0.034906615 80000000
-0.24958229 -0.68416965 0.07679455 89900000
-0.12566382 -0.77492684 0.078539886 100000000
-0.0453786 -0.7801629 0.052359924 109900000
-0.008726654 -0.7103496 -0.0017453308 120000000
-0.019198637 -0.6457724 -0.087266535 129900000
-0.05061459 -0.67369765 -0.19547704 140000000
-0.080285214 -0.7696909 -0.3071782 149900000
-0.043633267 -0.9145533 -0.4188794 160000000
0.0226893 -1.0489438 -0.4886926 169900000
0.11519183 -1.1327196 -0.49567392 180000000
0.14486246 -1.097813 -0.46251264 189900000
0.1134465 -0.9930932 -0.3857181 200000000
0.04886926 -0.7487469 -0.31939554 209900000
-0.02094397 -0.40142608 -0.26878095 220000000
-0.09599319 -0.06457724 -0.2443463 229900000
-0.17976907 0.2042037 -0.20594902 240000000
-0.20769437 0.3630288 -0.17627841 249900000
-0.19896771 0.44855002 -0.1588251 260000000
-0.17802374 0.464258 -0.1588251 269900000
-0.17453307 0.46076733 -0.16755176 280000000
-0.17278774 0.44680467 -0.17278774 289900000
-0.18325973 0.47472996 -0.16406108 300000000
-0.21816635 0.5637418 -0.16057043 309900000
-0.2670356 0.6824243 -0.14486246 320000000
-0.29321557 0.7714362 -0.14835311 329900000
-0.28448892 0.7714362 -0.1588251 340100000
-0.23038366 0.77492684 -0.16929708 349900000
-0.26529026 0.6143564 -0.120427825 360000000
-0.27401692 0.3700101 -0.10471985 369900000
-0.27401692 0.12391848 -0.15009844 380000000
-0.2042037 0.09250253 -0.11519183 389900000
-0.09599319 0.055850584 -0.080285214 400000000
-0.038397275 0.027925292 -0.031415954 409900000
0.0017453308 0.034906615 -0.040142607 420000000
0.07155856 0.12566382 -0.04712393 429900000
0.14486246 0.24260098 -0.09599319 440000000
0.16057043 0.34033948 -0.15707977 449900000
0.16929708 0.38920876 -0.1588251 460000000
0.18325973 0.42760605 -0.1815144 469900000
0.18849573 0.4939286 -0.18325973 480000000
0.16755176 0.464258 -0.17278774 489900000
0.12740915 0.3577928 -0.10122918 500000000
0.106465176 0.17278774 -0.0226893 509900000
0.1308998 -0.085521206 0.061086576 520000000
0.2548183 -0.42237005 0.10297451 529900000
0.39619008 -0.69115096 0.13788113 540000000
0.4206247 -0.75572824 0.17453307 549900000
0.26878095 -0.6318097 0.19373171 560000000
-0.017453307 -0.3246315 0.1815144 569900000
-0.31415954 0.029670622 0.17104241 580000000
-0.5201086 0.21293035 0.20245837 589900000
-0.52534455 0.10995584 0.26529026 600000000
-0.37175545 -0.14835311 0.31590486 609900000
-0.16231576 -0.4834566 0.35255682 620000000
-0.010471985 -0.72780293 0.37175545 629900000
0.07679455 -0.83077747 0.35430214 640000000
0.13439047 -0.7766722 0.3124142 649900000
0.106465176 -0.5567605 0.26529026 660000000
-0.02443463 -0.2094397 0.22863832 669900000
-0.2042037 0.15184377 0.2042037 680000000
-0.32637686 0.459022 0.18500505 689900000
-0.3298675 0.649263 0.15533444 700000000
-0.232129 0.7103496 0.12740915 709900000
-0.15184377 0.64053637 0.12217315 720000000
-0.09250253 0.46076733 0.106465176 729900000
-0.0680679 0.21293035 0.10471985 740000000
-0.052359924 -0.10471985 0.087266535 749900000
-0.066322565 -0.41713405 0.07155856 760000000
-0.085521206 -0.61610174 0.06283191 769900000
-0.10995584 -0.7801629 0.0680679 780000000
-0.1361358 -0.9093173 0.08203054 789900000
-0.11868249 -1.0053105 0.07155856 800000000
-0.061086576 -1.097813 0.052359924 809900000
0.031415954 -1.1170117 0.031415954 820000000
0.120427825 -1.1152663 0.0052359924 829900000
0.19198638 -1.0314904 -0.012217315 840000000
0.25656363 -0.89710003 -0.08203054 849900000
0.2600543 -0.75223756 -0.12217315 860000000
0.22863832 -0.6353004 -0.14137179 869900000
0.19373171 -0.5166179 -0.15009844 880000000
0.17453307 -0.4136434 -0.12915447 889900000
0.15009844 -0.30368754 -0.10995584 900000000
0.1588251 -0.17278774 -0.08203054 909900000
0.18500505 -0.09773852 -0.066322565 920000000
0.22165701 -0.010471985 -0.061086576 929900000
0.25656363 0.010471985 -0.061086576 940000000
0.28623423 0.019198637 -0.0680679 949900000
0.28099826 -0.02094397 -0.08901187 960000000
0.21642101 -0.1361358 -0.12566382 969900000
0.16929708 -0.28448892 -0.17278774 980000000
0.16580643 -0.45204067 -0.20245837 989900000
0.18325973 -0.5113819 -0.23561965 1000000000
0.20071304 -0.469494 -0.25656363 1009900000
0.21118502 -0.29147023 -0.2722716 1020000000
0.23038366 0.017453307 -0.30368754 1029900000
0.18849573 0.25830895 -0.33684883 1038900000
0.13439047 0.48520195 -0.35081148 1049900000
0.15707977 0.67718834 -0.3630288 1060000000
0.19722238 0.7225669 -0.37699145 1069900000
0.2617996 0.6824243 -0.37175545 1080000000
0.36477414 0.4939286 -0.36477414 1089900000
0.39968073 0.15009844 -0.33684883 1100000000
0.28972492 -0.13962646 -0.35255682 1109900000
0.04886926 -0.23561965 -0.43284202 1120000000
-0.19198638 -0.22514766 -0.49043795 1129900000
-0.34732082 -0.16231576 -0.47298464 1140000000
-0.35081148 -0.20594902 -0.3857181 1149900000
-0.17802374 -0.3106689 -0.29670623 1160000000
0.07155856 -0.3700101 -0.18849573 1169900000
0.25656363 -0.39095408 -0.10471985 1180000000
0.34208483 -0.39968073 -0.06457724 1189900000
0.35430214 -0.34906614 -0.078539886 1200000000
0.3351035 -0.28972492 -0.14311711 1209900000
0.24783696 -0.2443463 -0.20071304 1220000000
0.1308998 -0.26878095 -0.24958229 1229900000
0.02094397 -0.3857181 -0.30368754 1240000000
-0.04886926 -0.5305805 -0.34208483 1249900000
-0.0226893 -0.65624434 -0.34383017 1260000000
0.04712393 -0.73478425 -0.31939554 1271000000
0.09424786 -0.7190763 -0.28274357 1280000000
0.15184377 -0.6684617 -0.23387432 1289900000
0.20769437 -0.5305805 -0.18500505 1300000000
0.23736498 -0.3752461 -0.15707977 1309900000
0.23561965 -0.28797957 -0.13264513 1320000000
0.2548183 -0.25307295 -0.11170117 1329900000
0.31590486 -0.232129 -0.1134465 1340000000
0.34732082 -0.21467568 -0.09599319 1349900000
0.37175545 -0.25132763 -0.07679455 1360000000
0.40491673 -0.34557548 -0.066322565 1369900000
0.44331402 -0.43982336 -0.027925292 1380000000
0.49218327 -0.44855002 -0.026179962 1389900000
0.5602512 -0.46076733 -0.033161283 1400000000
0.60562974 -0.47472996 -0.031415954 1409900000
0.5881765 -0.4834566 -0.052359924 1420000000
0.5340712 -0.49567392 -0.08901187 1429900000
0.44331402 -0.4363327 -0.14311711 1440000000
0.3682648 -0.38222742 -0.20071304 1449900000
0.43284202 -0.34033948 -0.2443463 1460000000
0.5550152 -0.25307295 -0.27401692 1469900000
0.6108658 -0.18500505 -0.28623423 1480000000
0.5846858 -0.1134465 -0.26878095 1489900000
0.5375619 -0.06981323 -0.25132763 1500000000
0.49916458 -0.08901187 -0.2391103 1509900000
0.4782206 -0.10995584 -0.21991168 1520000000
0.5096366 -0.14137179 -0.21642101 1529900000
0.55326986 -0.18325973 -0.19024105 1540000000
0.6283191 -0.2094397 -0.15009844 1549900000
0.68067896 -0.1867504 -0.09424786 1560000000
0.67718834 -0.08901187 -0.06981323 1569900000
0.6457724 0.108210504 -0.0453786 1580000000
0.6143564 0.3228862 -0.043633267 1589900000
0.5672325 0.49043795 -0.057595916 1600000000
0.51836324 0.6073751 -0.06981323 1609900000
0.49043795 0.6527537 -0.07330389 1620000000
0.52534455 0.49916458 -0.04886926 1629900000
0.51312727 0.3351035 -0.034906615 1640000000
0.51312727 0.18849573 0.008726654 1649900000
0.59690315 0.08377588 0.0453786 1660000000
0.68067896 0.033161283 0.057595916 1669900000
0.70511365 0.04712393 0.08203054 1680000000
0.59690315 0.15533444 0.11693716 1689900000
0.31939554 0.34906614 0.13264513 1700000000
-0.052359924 0.5567605 0.14660779 1709900000
-0.3700101 0.7155856 0.16406108 1720000000
-0.4834566 0.6824243 0.20245837 1729900000
-0.41189805 0.51487255 0.2391103 1739900000
-0.13264513 0.232129 0.26529026 1749900000
0.19547704 -0.106465176 0.29670623 1760000000
0.40491673 -0.34732082 0.30892354 1769900000
0.4834566 -0.45204067 0.29845157 1780000000
0.41538873 -0.459022 0.28797957 1789900000
0.26878095 -0.30892354 0.24609163 1800000000
0.12391848 -0.12915447 0.19373171 1809900000
0.008726654 0.078539886 0.14137179 1820000000
-0.06981323 0.28972492 0.10471985 1829900000
-0.12217315 0.4188794 0.080285214 1840000000
-0.15707977 0.49567392 0.10297451 1849900000
-0.1815144 0.49741927 0.12217315 1860000000
-0.16231576 0.44680467 0.12566382 1869900000
-0.15707977 0.43284202 0.12217315 1880000000
-0.1588251 0.39095408 0.11693716 1889900000
-0.16057043 0.35430214 0.099483855 1900000000
-0.20071304 0.29147023 0.07679455 1909900000
-0.26529026 0.17976907 0.034906615 1920000000
-0.3577928 0.0907572 -0.0017453308 1929900000
-0.39444476 0.013962646 -0.02443463 1940000000
-0.33859417 0.040142607 -0.080285214 1949900000
-0.23736498 0.059341244 -0.099483855 1960000000
-0.15009844 0.0453786 -0.10995584 1969000000
-0.0907572 -0.008726654 -0.099483855 1980000000
-0.09599319 -0.05061459 -0.06981323 1989900000
-0.11519183 -0.061086576 -0.066322565 2000000000
-0.15184377 -0.052359924 -0.07504922 2009900000
-0.17802374 -0.07504922 -0.080285214 2020000000
-0.21293035 -0.13788113 -0.054105252 2029900000
-0.2600543 -0.18500505 -0.057595916 2040000000
-0.28797957 -0.22863832 -0.07504922 2049900000
-0.27925292 -0.19896771 -0.09773852 2060000000
-0.26529026 -0.15707977 -0.11693716 2069900000
-0.25307295 -0.08377588 -0.099483855 2080000000
-0.23038366 -0.034906615 -0.06981323 2089900000
-0.20594902 0.0034906615 -0.040142607 2100000000
-0.18849573 0.0226893 -0.031415954 2109900000
-0.17802374 0.0226893 -0.027925292 2120000000
-0.16755176 0.038397275 -0.040142607 2129900000
-0.1535891 0.040142607 -0.04886926 2140000000
-0.15009844 0.02443463 -0.052359924 2149900000
-0.14486246 0.02443463 -0.0453786 2160000000
-0.10122918 0.0052359924 -0.026179962 2169900000
-0.043633267 -0.040142607 -0.015707977 2180000000
-0.0034906615 -0.09773852 -0.012217315 2189900000
0.006981323 -0.04886926 -0.012217315 2200000000
0.008726654 0.12740915 -0.015707977 2209900000
-0.0017453308 0.3577928 0.0 2220000000
-0.033161283 0.5375619 0.008726654 2229900000
-0.0907572 0.6248284 0.0052359924 2240000000
-0.106465176 0.6126111 0.008726654 2249900000
-0.019198637 0.51312727 0.0017453308 2260000000
0.12740915 0.30892354 -0.013962646 2269900000
0.28099826 -0.008726654 -0.07155856 2280000000
0.42237005 -0.41538873 -0.13264513 2289900000
0.464258 -0.71733093 -0.22340234 2300000000
0.3577928 -0.81506944 -0.33335817 2309900000
0.26529026 -0.7487469 -0.39968073 2318900000
0.1308998 -0.53581655 -0.453786 2329900000
0.043633267 -0.24783696 -0.45553133 2340000000
-0.0052359924 0.08901187 -0.464258 2349900000
-0.040142607 0.44680467 -0.44680467 2360000000
-0.06981323 0.70162296 -0.3804821 2369900000
-0.11868249 0.88662803 -0.31415954 2380000000
-0.15184377 0.9372426 -0.25656363 2389900000
-0.16231576 0.8779014 -0.17453307 2400000000
-0.17627841 0.70162296 -0.09773852 2409900000
-0.20594902 0.43982336 -0.04188794 2420000000
-0.21991168 0.21991168 -0.019198637 2429900000
